,text,summary,abstract,plain_summary,containsKeyResult,population,intervention,outcome,omissions,errors,coherence,usefulness,containsKeyResult_plain,population_plain,intervention_plain,outcome_plain,omissions_plain,errors_plain,coherence_plain,readability_plain,substitution_plain,usefulness_plain,annotator,intervention_addl,population_addl,outcome_addl,answer,answer_plain,newConcepts_plain,outcome_addl_plain,intervention_addl_plain,newConcepts,population_addl_plain
0,"However, a statistically significant reduction in pain and swelling was observed in the A-PRF group compared to the controls ( p  < 0.05).","This clinical trial investigated the potential of advanced platelet-rich fibrin (A-PRF) as a regenerative biomaterial for bone regeneration and postoperative sequelae after impacted third molar extractions. Ten female patients in King Abdulaziz University Dental Hospital with bilateral impacted third molars were recruited into the study. Both the patients and the investigators were blinded about the A-PRF side. The outcome on periodontal regeneration was measured by pocket depth (PD), gum recession (GR), and clinical attachment level (CAL) before and at 1 and 3 months postoperatively. Pain, swelling, and healing were assessed on the 7th postoperative day. Results showed a statistically significant reduction in pain and swelling in the A-PRF group compared to the controls (p < 0.05). These findings suggest that A-PRF may be a potential biomaterial for lessening the severity of pain and swelling after third molar surgery.","AIM
To evaluate the potential of advanced platelet-rich fibrin (A-PRF) as a regenerative biomaterial for bone regeneration and postoperative sequelae after impacted third molar extractions.

MATERIALS AND METHODS
This was a split-mouth, randomized, double-blind clinical trial. A total of 10 female patients in King Abdulaziz University Dental Hospital with bilateral impacted third molars were recruited into the study. Surgical extractions were performed on both sides of the mandible. Randomization was done by a coin toss; A-PRF was placed on the one side while the other side did not receive any intervention. Each patient acted as their own control. Both the patients and the investigators were blinded about the A-PRF side. The outcome on periodontal regeneration was made measuring pocket depth (PD), gum recession (GR), and clinical attachment level (CAL) before and at 1- and 3-months postoperatively. Pain, swelling, and healing were assessed on the 7th postoperative day.  p  value less than 0.05 was considered statistically significant.

RESULTS
An estimated 10 patients completed the study. There were no significant differences in PD, CAL, and GR between the two groups at any time point, although the data obtained were slightly favoring the A-PRF. However, a statistically significant reduction in pain and swelling was observed in the A-PRF group compared to the controls ( p  < 0.05).

CONCLUSION
The findings of this study demonstrate A-PRF as a potential biomaterial for lessening the severity of pain and swelling after third molar surgery. Long-term trials with a larger sample size and more methodically sound assessment tools are needed to obtain more meaningful results on periodontal regeneration.

CLINICAL SIGNIFICANCE
Placement of A-PRF clot in the extraction socket could lessen postoperative pain and increase patient comfort after third molar extraction.

TRIAL REGISTRATION
NCT03703479. Registered 8 October 2018 How to cite this article: Zahid TM, Nadershah M. Effect of Advanced Platelet-rich Fibrin on Wound Healing after Third Molar Extraction: A Split-mouth Randomized Double-blind Study. J Contemp Dent Pract 2019;20(10):1164-1170.
","This study looked at whether a special material called advanced platelet-rich fibrin (A-PRF) could help people who had their wisdom teeth removed feel less pain and swelling afterwards. 10 people with impacted wisdom teeth were chosen for the study and their teeth were removed from both sides of their mouths. One side of their mouth had A-PRF applied while the other side didn't. The researchers looked at pain, swelling, and healing seven days after the surgery. They found that the side with A-PRF had less pain and swelling than the side without A-PRF. The researchers concluded that using A-PRF could help reduce pain and swelling after wisdom teeth removal.",Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,All,Strongly agree,121,,,,,,,,,,
1,"No clinical adverse effects were noted, 2 patients developed hypertriglyceridemia and 1 patient developed hypoglycemia.","This study investigated the feasibility and safety of using a ketogenic diet (KD) for adult traumatic brain injury (TBI) patients in the Neuroscience Intensive Care Unit (NSICU). 10 adults with TBI and a ventriculostomy catheter were enrolled, 8 of which achieved ketosis within an average of 2.2 days. While no clinical adverse effects were observed, 2 patients developed hypertriglyceridemia and 1 patient developed hypoglycemia. The results suggest that KD is a feasible treatment for TBI patients and a randomized controlled trial (RCT) is warranted to further explore its efficacy.","BACKGROUND
Traumatic Brain injury (TBI) is a major cause of mortality and morbidity in the United States. Ketogenic diet (KD) has been shown to have neuroprotective effects in acute brain injury, but limited data about its use in adult TBI patients is available. The objective of this study is to investigate the feasibility and safety of ketogenic diet (KD) for adult TBI patients in the Neuroscience Intensive Care Unit (NSICU).

METHODS
TBI patients admitted to NSICU between June 2019 to March 2021 were enrolled in this single-center, open label, single-arm prospective intervention study. The primary feasibility outcome was achievement of ketosis (detection and maintenance of serum beta-hydroxybutyrate (BOB) levels above normal); secondary outcomes included laboratory and clinical adverse effects related to KD.

RESULTS
10 adults with TBI with Abbreviated Injury Score (AIS)-Head ≥3 and ventriculostomy catheter to monitor intracranial pressure met inclusion/exclusion criteria and were placed on KD. Mean age was 47 years, and all patients were male. Eight out of 10 patients achieved ketosis within mean 2.2 days. KD was initiated within 8-33 h (average 23 h) of hospital admission. No clinical adverse effects were noted, 2 patients developed hypertriglyceridemia and 1 patient developed hypoglycemia. Serum glucose showed a decreasing trend in most patients.

CONCLUSIONS
This pilot study shows that KD is feasible in the management of TBI patients. A randomized controlled trial (RCT) is justified to further understand the optimal serum BOB levels, dose and duration of KD in TBI and its effect on the outcome. CLINICALTRIALS.

GOV IDENTIFIER
NCT03982602, Registered 06/11/2019, https://clinicaltrials.gov/ct2/show/NCT03982602?term=brain+injury&cond=ketogenic+diet&draw=2&rank=3.
","This study looked at using a special kind of diet, called a ketogenic diet, to help people who have had a traumatic brain injury. 10 people were enrolled in the study and 8 of them showed a positive response to the diet. No negative effects were seen, but the researchers want to do more research to find out if this diet can be used to help people with traumatic brain injuries.",Agree,"The population is mentioned, and described accurately",The intervention is underspecified,"The outcome is mentioned, and described accurately",Minor omission(s),No errors,Agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Agree,Agree,All,Agree,121,Does not describe comparator intervention,,,,,,,,,
2,"We observed group differences, during memory encoding, in medial temporal, frontal, and striatal regions and moreover, these regions were differentially sensitive across groups to dopaminergic perturbation.","This study investigates the link between dopamine, episodic memory networks, and aging. Young and older adults received a D2-like agonist, antagonist, or placebo in a double-blind crossover procedure. Results showed that there were differences between the groups in medial temporal, frontal, and striatal regions during memory encoding. Furthermore, these regions showed sensitivity to dopamine in different ways depending on the group. The results suggest that dopaminergic function may be key in understanding age-related changes in memory and that these changes have behavioral consequences, as indicated by the poorer recognition memory in the older subjects.","Normal aging brings with it changes in dopaminergic and memory functions. However, little is known about how these 2 changes are related. In this study, we identify a link between dopamine, episodic memory networks, and aging, using pharmacological functional magnetic resonance imaging. Young and older adults received a D2-like agonist (Bromocriptine, 1.25 mg), a D2-like antagonist (Sulpiride, 400 mg), and Placebo, in a double-blind crossover procedure. We observed group differences, during memory encoding, in medial temporal, frontal, and striatal regions and moreover, these regions were differentially sensitive across groups to dopaminergic perturbation. These findings suggest that brain systems underlying memory show age-related changes and that dopaminergic function may be key in understanding these changes. That these changes have behavioral consequences was suggested by the observation that drug modulations were most pronounced in older subjects with poorer recognition memory. Our findings provide direct evidence linking ageing, memory, and dopaminergic change.","As people get older, their brain's dopaminergic functions and memory can change. In this study, scientists looked at how these two things are related. They gave people different drugs and used a special type of scanning to figure out how the brain changes with age. They found that brain systems related to memory change with age, and that dopaminergic functions may be part of the reason why. They also found that people with poorer memory recognition responded more strongly to the drugs. This study shows a connection between ageing, memory, and dopaminergic change.",Agree,"The population is mentioned, and described accurately",The intervention is underspecified,"The outcome is mentioned, and described accurately",Minor omission(s),No errors,Agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Agree,All,Agree,121,"{""choices"": [""Does not describe comparator intervention"", ""Omits dosage or other important detail about administration""]}",,,,,,,,,
3,"There was statistically significant difference between the investiga-tor' s subjective erythema score in week 8 and before treatment on the treatment side( Z =4.24,  P  < 0.01), while no significant difference was showed on the control side( Z =1.73,  P =0.08).","This study investigated the effectiveness and safety of 585 nm Q-switched laser in treating acne inflammatory lesions and postinflammatory erythema. A total of 25 patients with moderate facial acne were enrolled and 22 completed the evaluation. The results showed that the treatment was effective in reducing the erythema index on the treatment side and there were no significant differences between the treatment and control sides in the improvement of acne inflammatory lesions. Adverse events were mild to moderate and resolved spontaneously. Overall, the treatment showed good tolerance and safety and was well-received by the patients.","OBJECTIVE
To evaluate the efficacy and safety of 585 nm Q-switched laser in the treatment of acne inflammatory lesions and postinflammatory erythema.

METHODS
A total of 25 patients with moderate facial acne, symmetrical distribution of inflammatory lesions and postinflammatory erythema on both sides of the face, were enrolled. Among the 25 patients, 22 patients completed all the treatment and evaluation, and 3 patients were lost to follow-up. 585 nm Q-switched laser was used on a randomly selected side of the face for three times of treatment at a 2 week interval. The evaluations were made before each treatment, 2 and 4 weeks after the last treatment, therefore the evaluation time points were before the treatment, weeks 2, 4, 6, and 8, respectively, for a total of 5 times. Acne severity was assessed using the investigator' s global assessment (IGA) score, and erythema severity was assessed using the investigator' s subjective erythema score and narrow-spectrum reflectance spectrophotometer at each follow-up.

RESULTS
After 3 times of treatment, there was statistically significant difference between the IGA score in week 8 and before treatment on both sides( Z =2.64,  P  < 0.01;  Z =2.67,  P  < 0.01). There was no significant difference in IGA score between the treatment side and the control side before treatment and in week 8 ( P =0.59,  P =0.26). There was statistically significant difference between the investiga-tor' s subjective erythema score in week 8 and before treatment on the treatment side( Z =4.24,  P  < 0.01), while no significant difference was showed on the control side( Z =1.73,  P =0.08). In week 8, the investigator's subjective erythema score of the treatment side was lower than that of the control side ( Z =3.61,  P  < 0.01). The erythema index of the treatment side was significantly decreased at 5 time points ( P  < 0.01), and the index decreased significantly in week 8 compared with the index before treatment ( P  < 0.01), while the erythema index of the control side was not significantly different at 5 time points. The treatment related adverse events included erythema and edema after treatment and pain during treatment, the severity was mild to moderate, which resolved spontaneously within 1 to 3 days. Nine patients were very satisfied with the treatment, 7 patients were satisfied, and 6 patients considered average.

CONCLUSION
585 nm Q-switched laser has some effect in the treatment of postinflammatory erythema, and it ensures good tolerance and safety. There was no statistically significant difference between the treatment side and the control side on the improvement of acne inflammatory lesions.
","This study looked at a type of laser treatment to see if it can be used to help with acne and redness on the face. 25 people were chosen to take part in this study and 22 were able to complete it. The laser treatment was used on one side of the face three times with a two week gap in between. The results showed that the laser treatment helped reduce acne and redness on the treated side of the face, but there was no difference in the results between the treated side and the side that did not receive the treatment. The treatment had some mild to moderate side effects, but most people were satisfied with the results.",Agree,"The population is mentioned, and described accurately",The intervention is underspecified,"The outcome is mentioned, and described accurately",Minor omission(s),No errors,Agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Agree,Agree,All,Agree,121,Omits dosage or other important detail about administration,,,,,,,,,
4,"The results revealed that the experimental group showed significant improvement at the level of self-efficacy in managing their disease concerning general nutrition, specific nutrition, control of glycaemia, physical activity, weight control and medical control (α<0.01); the total score of DMSES had significantly increased from 5.02 to 8.28 in the EG (α<0.01) compared to the control group (CG) that has decreased from 4.91 to 4.85 (α<0.05).","The study showed that Therapeutic Patient Education (TPE) had a positive effect on type 2 Diabetic patients in Lebanon. TPE improved their glycemic control, self-efficacy in managing the disease, and self-care activities. The results showed a significant increase in the Diabetes Management Self-Efficacy Scale score and Summary of Diabetes Self-Care Activities scores in the experimental group, while the control group did not show any improvement. The study concluded that health professionals can help patients improve their self-efficacy in managing diabetes, controlling glycemia, and improving their self-care.","BACKGROUND
Diabetes type 2 is a chronic hyperglycemia, its control depends on the patient's Self-efficacy and self-care activities. Therapeutic Patient Education (TPE) enhances the patient involvement and engagement in managing chronic diseases effectively by improving the health outcomes. It helps the patients developing competencies of self-care, coping with diabetes and controlling glycaemia.

OBJECTIVE
The objectives of this study are to assess the effects of TPE in type 2 Diabetic patients in Lebanon on their glycemic control, Diabetes Management Self-Efficacy Scale (DMSES) and their self-care activities (Summary of Diabetes Self-Care Activities SDSCA).

MATERIALS AND METHODS
A total of 100 diabetic patients (50 experimental, 50 control) were recruited from a primary care center according to inclusion and exclusion criteria. The experimental group followed the TPE by a multidisciplinary team. Glycemic control, DMSES and SDSCA were measured at baseline and after three months. The experimental group (EG) was followed up by phone calls every two weeks after the TPE.

RESULTS
The results revealed that the experimental group showed significant improvement at the level of self-efficacy in managing their disease concerning general nutrition, specific nutrition, control of glycaemia, physical activity, weight control and medical control (α<0.01); the total score of DMSES had significantly increased from 5.02 to 8.28 in the EG (α<0.01) compared to the control group (CG) that has decreased from 4.91 to 4.85 (α<0.05). Moreover, regarding the SDSCA of the EG, the results highlighted that the activities related to general diet, specific diet, physical exercise, foot care, the measurement of glycaemia and the medication-taking had significantly improved (α<0.05), whereas the CG didn't improve his self-care activities (α>0.05). In addition, the glycemic control HbA1c had improved in the EG after the intervention compared to the CG.

CONCLUSION
The findings of this study demonstrated that Therapeutic Patient Education is efficient in contributing to better glycemic control, better DMSES and SDSCA. Health professionals are best suited to help diabetic patients improve their self-efficacy in managing diabetes, controlling glycemia and improving their self-care.
","This study looked at how an educational program called Therapeutic Patient Education (TPE) can help people with type 2 diabetes better manage their condition. It looked at how the program affected their ability to control their blood sugar, their confidence in managing their diabetes, and their ability to take care of themselves. The study found that the program was successful in helping people with type 2 diabetes improve their blood sugar control, their self-confidence, and their ability to take care of themselves. Health professionals can use this program to help people with type 2 diabetes better manage their condition.",Agree,The population is underspecified,"The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",Minor omission(s),No errors,Strongly agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,All,Strongly agree,121,,Omits sample size,,,,,,,,
5,"Of the SDN considered, wealth quintile had the strongest association with DDS (P < 0.0001).","Adolescent girls in Pakistan suffer from diets that are insufficient to meet their nutritional requirements. This was found in a study of 390 girls aged 15-18.9 years enrolled in the Matiari emPowerment and Preconception Supplementation (MaPPS) Trial, where a dietary diversity score was derived from 24-hour dietary recall data. The results showed that diets lacked diversity, with poverty being the most important predictor of a diet lacking in diversity. Nutrition education and dietary diversification strategies alone may not be enough to improve diets without steps to address this barrier, such as through fortification of staple foods and provision of supplements.","The conditions in which adolescent girls mature shape their health, development and nutrition. Nutrient requirements increase to support growth during adolescence, but gaps between consumption and requirements exist in low- and middle-income countries. We aimed to identify and quantify the relationship between dietary intake and diverse social determinants of nutrition (SDN) among a subset of adolescent girls 15-18.9 years (n = 390) enrolled within the Matiari emPowerment and Preconception Supplementation (MaPPS) Trial. The primary outcome, dietary diversity score (DDS), was derived by applying the Minimum Dietary Diversity for Women 10-item scale to 24-h dietary recall data collected three times per participant. To examine the associations between the SDN-related explanatory variables and DDS, we generated a hierarchical, causal model using mixed effects linear regression to account for the cluster-randomized trial design. Using all data, diets lacked diversity (DDS mean ± SD: 3.35 ± 1.03 [range: 1-7; n = 1170]), and the minimum cut-off for dietary diversity was infrequently achieved (13.5%; 95% CI: 11.6-15.6%). Consumption of starches was reported in all recalls, but micronutrient-rich food consumption was less common. Of the SDN considered, wealth quintile had the strongest association with DDS (P < 0.0001). The diets of the sampled Pakistani adolescent girls were insufficient to meet micronutrient requirements. Poverty was the most important predictor of a diet lacking in diversity, indicating limited purchasing power or access to nutritious foods. Dietary diversification and nutrition education strategies alone are unlikely to lead to improved diets without steps to tackle this barrier, for example, through fortification of staple foods and provision of supplements.","This passage is talking about adolescent girls in Pakistan and how the conditions they mature in can affect their health, development and nutrition. It seems that their diets don't have enough variety and are not providing them with enough nutrients. It also seems that poverty is a big factor in this, meaning that these girls don't have enough money to buy the nutritious food they need. To help, we need to make sure that these girls have access to healthy food and can get help from things like fortification of staple foods and supplements.",Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Agree,All,Strongly agree,121,,,,,,,,,,
6,"Tarolimus 0.03% ointment showed simple superiority over both Calcipotriol 0.005% cream and topical corticosteroid as regards repigmenation, although, the later received the highest level of patient satisfaction.","This study evaluated the efficacy of three cost-effective treatments of Pityriasis alba (PA) in comparison with placebo. 80 patients were divided into 4 groups and treated with Calcipotriol 0.005% cream, Tacrolimus 0.03% ointment, topical corticosteroid, or Petrolatum (placebo) twice daily for 8 weeks. Results showed significant improvement of scaling, erythema, and hypopigmentation within 8 weeks, with Tacrolimus 0.03% ointment showing the greatest efficacy in repigmentation and the highest patient satisfaction.","BACKGROUND
Pityriasis alba is a common skin condition that may be challenging to treat, especially in patients with darker skin type where the hypopigmentation may be more noticeable and represents a major cosmetic concern.

OBJECTIVES
This study aims to evaluate the efficacy of three cost-effective treatments of PA in comparison with placebo.

PATIENTS/METHODS
This prospective study was conducted on 80 patients complaining from PA and divided into 4 equal groups according the received topical treatment on the target lesions twice daily for 8 weeks (Calcipotriol 0.005% cream, Tacrolimus 0.03% ointment, topical corticosteroid; Clobetasone butyrate 0.05% cream and Petrolatum as Placebo). Clinical evaluation, Physician Global Assessment, Patient's satisfaction levels as well as point counting planimetry were done for evaluation of the response.

RESULTS
Significant improvement of scaling and erythema within 3 weeks after initiation of therapy and hypopigmentation by the 8th week, except for those received placebo. Tarolimus 0.03% ointment showed simple superiority over both Calcipotriol 0.005% cream and topical corticosteroid as regards repigmenation, although, the later received the highest level of patient satisfaction.

CONCLUSION
The three treatments were superior to placebo with relative superiority to Tacrolimus 0.03% due to limited side effects.
","This article is about a skin condition called Pityriasis alba. It is a common condition that is difficult to treat, especially for people with darker skin. This study looked at three different treatments (Calcipotriol 0.005% cream, Tacrolimus 0.03% ointment, and Clobetasone butyrate 0.05% cream) to see how well they worked. The results showed that all three treatments were better than a placebo, and the Tacrolimus 0.03% ointment was the most effective. The treatment also had fewer side effects, making it the best choice.",Agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately",The outcome is underspecified,Minor omission(s),No errors,Strongly agree,Agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,All,Strongly agree,121,,,Other,Mention about the whole 3 are superior to placebo,,,,,,
7,The FMD increased significantly after A+EMS training session and the FMD in A+EMS group was significantly higher than that in the A group.,"This study investigated whether arm-cranking with EMS applied to the lower limbs would result in greater improvement of vessel function compared to the same exercise without EMS. Nine healthy young men performed two 20-min arm-cranking trials with and without EMS, and flow-mediated vasodilation (FMD) of the right brachial artery was measured. Results showed that FMD and normalized FMD were increased significantly with EMS, and a further study of 16 healthy adult men found that FMD increased significantly with EMS, with a significantly higher FMD in the group performing arm-cranking with EMS than the group without. These findings suggest that arm-cranking with EMS applied to the lower limbs may lead to greater improvement of vessel function.","This study aimed to determine whether arm-cranking training with electrical muscle stimulation (EMS) results in a greater improvement in vessel function than performing the same exercise without EMS. First, nine healthy young men performed two 20-min arm-cranking trials at 50% V˙O 2max  with and without EMS applied to the lower limbs. The flow-mediated vasodilation (FMD) of the right brachial artery was measured using a high-resolution ultrasound device. Both FMD and normalized FMD were increased significantly after the arm-cranking with EMS trial, and significant differences were observed between the two trials. Second, 16 healthy adult men were randomly assigned to either the arm-cranking exercise training (A) group or arm-cranking training with EMS (A+EMS) group. The subjects were engaged in 20 min of arm-cranking at 50% V˙O 2max  twice a week for 8 weeks with/without EMS applied to the lower limbs. The FMD increased significantly after A+EMS training session and the FMD in A+EMS group was significantly higher than that in the A group. These results indicate that acute/chronic endurance arm-cranking with EMS applied to the lower limbs improves the brachial artery endothelial function more markedly than the same exercise without EMS.","This study looked at how two different types of exercise affected the health of the blood vessels. Nine healthy young men did two different types of arm-cranking exercises for 20 minutes. One was done with a special machine that stimulates muscles (EMS). The other was done without this machine. The results showed that doing the exercise with the EMS machine was better for the blood vessels. Then, 16 more healthy adults did the same exercises, but this time they were divided into two groups. One group did the exercise with the EMS machine and the other did not. The results showed that the group that used the EMS machine had better blood vessel health than the group that did not. The study showed that doing arm-cranking exercise with EMS applied to the lower limbs is better for the health of the blood vessels than doing it without EMS.",Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,All,Strongly agree,121,,,,,,,,,,
8,"Results


Participants in the experimental group to quit smoking, more than the control group (p>0,01).","This Randomized Controlled Trials study examined the effect of a peer education course at a Youth Friendly Center on the decision to quit smoking, factors that encourage smoking, self-efficacy, addiction, and behavior change in students. It was found that those who participated in the peer education course were more likely to quit smoking and had lower addiction levels than those in the control group. Participants in the experimental group also had higher scores in the Self-Efficacy Scale, the Behavior Change Process Scale, and the Decision Balance Scale than those in the control group. It was concluded that peer education is an important factor in supporting and improving the cognitive and behavioral change processes of university students in smoking quit.","PURPOSE
The study aims to examine the effect of peer education on the decision to quit smoking, factors that encourage smoking, self-efficacy, addiction, and behavior change in students who apply to the Youth Friendly Center to quit smoking.

PARTICIPANTS AND METHODS
This research is a Randomized Controlled Trials study. The experimental group consisted of students who were enrolled in the peer education course (n=759). The control group has consisted of students (n=1095) who did not enroll in this course.

RESULTS
Participants in the experimental group to quit smoking, more than the control group (p>0,01). The addiction level of the participants in the experimental group, less than the participants in the control group (p>0,01). According to the scores of the participants in the control group of the participants in the experimental group, the factors that trigger smoking, and the benefit sub-dimension scores in the Decision Balance Scale were low. Loss sub-dimension scores, which show the losses from the harms of smoking, increased significantly in the Self-Efficacy Scale, Behavior Change Process Scale, and Decision Balance Scale (p>0,01).

CONCLUSION
Peer educators trained by the researcher and her team in the Youth Friendly Center Smoking Quit Program have an important effect in supporting/improving the cognitive and behavioral change processes of university students in smoking quit compared to those who do not receive an education. 94% success of the smoking quit program; Students' voluntary application to receive professional support, students' voluntary attendance of the treatment program for 6 months, strong communication and feedback, effective and functional professional counseling, and social support depend on strengthening the program with peer education. Especially with peer education, the development of leadership and role model characteristics made the smoking quit program preferred by students.
","This study looked at the effects of a smoking quit program in young people. The study compared two groups of people; one group received additional peer education, while the other group did not. The results showed that people in the group that received the peer education were more successful in quitting smoking, had lower levels of addiction, and had more positive attitudes towards quitting. The study concluded that peer education was an important part of helping young people quit smoking and that it was a preferred program amongst the students.",Agree,The population is underspecified,"The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",Minor omission(s),No errors,Agree,Agree,Agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Agree,Agree,Mostly all,Agree,121,,Omits sample size,,,,,,,,
9,"Currently, there are no robust criteria to objectively determine the failure of non-surgical treatment or to establish the indications for surgery in acute ASBO.",A randomized clinical trial is being proposed to evaluate how procalcitonin can help distinguish patients with uncomplicated acute adhesion-related small bowel obstruction who would be successful with conservative management from those who require surgery. The trial will use a 1:1 cluster-randomized design and will include adults who are able to provide written informed consent. The results of the trial may help simplify or clarify the management algorithm in these cases. The trial is registered at clinical trials under the reference: NCT03905239.,"BACKGROUND
Acute adhesion-related small bowel obstruction (ASBO) is a common digestive emergency, accounting for 1 to 3% of all digestive emergencies. The efficacy of conservative management in this setting is a subject of debate, as it may delay the decision to perform surgery and increase the frequency of bowel resection (e.g., in the presence of bowel necrosis) or, in contrast, prompt an excessive number of unnecessary laparotomies. Thus, the decision to perform surgery is difficult. We propose that the introduction of the procalcitonin (PCT)-based algorithm improves the quality of the management of patients with ASBO by aiding the decision of whether or not to perform surgery.

METHODS
This is a 1:1 cluster-randomized clinical trial (use of algorithm: no algorithm) using an independent computer to ensure that investigators cannot interfere with the randomization. Each cluster will correspond to one investigating center. All patients in a center will be managed in the same way. Before randomization, each principal investigator will provide a commitment to participate in the study to avoid the risk of ""empty clusters"". The patients included will constitute two parallel arms (use of algorithm versus no algorithm), with no expected crossover between arms. The inclusion criteria are being an adult with uncomplicated acute ASBO (i.e., absence of fever, abdominal pain and distension, nausea and/or vomiting, and the absence of gas and/or stool, in conjunction with a contrast-enhanced CT scan, for patients with previous abdominal surgery) who is able to express consent with a signed written informed consent form. Patients with complicated acute ASBO (strangulation or peritonitis) will be excluded.

DISCUSSION
There is an ongoing debate on the management of uncomplicated ASBO. The main points are to avoid a surgery if it is unnecessary and to avoid delayed surgery if it is necessary. Currently, there are no robust criteria to objectively determine the failure of non-surgical treatment or to establish the indications for surgery in acute ASBO. Our team proposes the use of procalcitonin (PCT) to help distinguish patients for whom conservative management is likely to be successful from those for whom surgical management is required. The results from a randomized control trial could help in the selection of patients through clear inclusion and exclusion criteria and simplify or clarify the management algorithm. In conclusion, PCT may be useful in evaluating the proper strategy for ASBO. Trial registration The trial is registered at clinical trials under the reference: NCT03905239.
","Acute adhesion-related small bowel obstruction (ASBO) is a common emergency in the digestive system and doctors don't always know the best way to treat it. A team of doctors are running a study to see if using a certain algorithm (a set of rules to follow) can help make it easier to decide if a patient needs surgery or not. They will be looking at adults with uncomplicated ASBO and testing the algorithm to see if it can help doctors make the right decision about if surgery is needed. If the results of the study are successful, the algorithm may help doctors to quickly decide if surgery is necessary or not.",Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Strongly agree,Strongly agree,"The population is mentioned, and described accurately","The intervention is mentioned, and described accurately","The outcome is mentioned, and described accurately",No omission,No errors,Strongly agree,Agree,Mostly all,Agree,121,,,,The article is not good enough ,,,,,,
